codigo_onibus,distancia_percorrida,segundos_deslocamento,tecnologia,fase_conama,fator_consumo_l,fator_consumo_kg,consumo_l,consumo_kg,emissao_co2,emissao_mp,emissao_nox
10220,16636.435093302433,2885.0,Padron,P5,0.63,0.529,10.480954108780532,8.800674164356986,27.994628424552797,0.34146615757705107,0.18465574531653828
10224,190906.48893489514,52223.0,Básico,P5,0.53,0.445,101.18043913549444,84.95338757602835,270.2529529309056,3.2961914379499,1.7824919781202269
10225,310358.3808390445,57465.0,Midiônibus,P8,0.47,0.395,145.86843899435092,122.5915604314226,389.6146005539113,0.0031873805712169874,0.1363218151997419
10226,364783.3856715004,60018.0,Articulado (18m),P8,0.8,0.672,291.8267085372003,245.1344351712483,779.469138502862,0.006373495314452455,0.2725894919104281
10401,89686.62403756252,86185.0,Básico,P7,0.53,0.445,47.53391073990814,39.91054769671533,126.96307558629462,0.021950801233193432,2.624118511059033
10402,73764.67347168196,86194.0,Midiônibus,P8,0.47,0.395,34.669396531690516,29.137046021314376,92.60195813614536,0.0007575631965541737,0.032400395175701584
10404,73491.55479546289,86244.0,Miniônibus,P8,0.35,0.294,25.72204417841201,21.60651710986609,68.70358000053847,0.0005617694448565183,0.02402644702617109
10407,11788.712720418485,3099.0,Miniônibus,P7,0.35,0.294,4.12604945214647,3.4658815398030347,11.020678086683219,0.0019062348468916691,0.22788171124204953
10410,522591.9737556046,56579.0,Articulado (18m),P7,0.8,0.672,418.0735790044837,351.1818063637663,1116.674529520976,0.1931499935000715,23.090203768417638
10411,402470.09164270456,58353.0,Midiônibus,P7,0.47,0.395,189.16094307207115,158.97568619886832,505.248878945502,0.08743662740937758,10.452651367575593
10413,414770.4854851581,86197.0,Miniônibus,P8,0.35,0.294,145.16966991980533,121.94252273263646,387.7481883558,0.003170505591048548,0.13560008527869175
10414,450446.95120572153,86254.0,Articulado (18m),P5,0.8,0.672,360.35756096457726,302.7003512102449,962.5150453363858,11.744773626957501,6.351258769093358
10415,204816.89042418989,53453.0,Articulado (18m),P7,0.8,0.672,163.85351233935194,137.6369503650556,437.652731458409,0.07570032270078059,9.049629486502408
10416,428625.1708536349,59957.0,Articulado (23m),P8,0.85,0.714,364.33139522558963,306.03837198949526,973.1291566475498,0.007956997671726876,0.3403146696523187
10417,100146.26153558266,29274.0,Articulado (23m),P7,0.85,0.714,85.12432230524526,71.50443073640601,227.36706487731007,0.03932743690502331,4.701416320918695
10423,282683.5661440995,59996.0,Básico,P8,0.53,0.445,149.82229005637276,125.7941869341243,400.17533674057165,0.0032706488602872313,0.13988313587074622
10424,295893.84745068476,59882.0,Miniônibus,P5,0.35,0.294,103.56284660773966,86.9927911505013,276.6163632892726,3.3753202966394507,1.8252827439198185
10425,343195.5136460753,60152.0,Miniônibus,P8,0.35,0.294,120.11842977612635,100.89948101194614,320.83632593203345,0.0026233865063105995,0.1122002228852841
10427,201957.6566011273,85960.0,Biarticulado,P5,0.9,0.756,181.76189094101457,152.67998839045225,485.4860107034499,5.923983549549548,3.2035315164084692
10428,6807.448102743918,6396.0,Biarticulado,P7,0.9,0.756,6.126703292469527,5.146430765674403,16.364424494186107,0.0028305369211209215,0.338377822843092
10429,199886.8402253333,86216.0,Básico,P8,0.53,0.445,105.94002531942665,88.94964390027332,282.96580762818854,0.002312690741407106,0.09891200401710391
10430,203168.19446155068,83571.0,Midiônibus,P8,0.47,0.395,95.48905139692882,80.25143681231252,255.05125628119686,0.0020865373571201254,0.08923959773529151
10433,169174.03594326318,55787.0,Básico,P8,0.53,0.445,89.6622390499295,75.28244599475212,239.48784050236168,0.001957343595863555,0.08371407994616435
