hora_requisicao,codigo_linha,nome_linha,letreiro,codigo_onibus,x,y,hora_gps,geometry,ponto_final,hora_final,distancia_percorrida,segundos_deslocamento
14:02:00,34705,1720-21,METRÔ TUCURUVI - VILA SABRINA,26199,-46.5772385,-23.478613000000003,2025-10-16 14:02:00-03:00,POINT (338923.70686886634 7402612.865822563),,,,
14:02:00,33627,172R-10,METRÔ BELÉM - JAÇANÃ,26216,-46.595751,-23.538728,2025-10-16 14:01:56-03:00,POINT (337106.7484366589 7395935.083927561),,,,
14:02:00,858,172P-10,METRÔ BELÉM - VL. ZILDA,26248,-46.59685625,-23.53911275,2025-10-16 14:02:42-03:00,POINT (336994.3795469097 7395891.222040245),,,,
14:02:00,859,172R-10,METRÔ BELÉM - JAÇANÃ,26265,-46.573657,-23.47734075,2025-10-16 14:02:32-03:00,POINT (339287.99073134735 7402757.757218466),,,,
14:02:00,33627,172R-10,METRÔ BELÉM - JAÇANÃ,26276,-46.6005005,-23.534526,2025-10-16 14:02:12-03:00,POINT (336616.64414041827 7396394.997327713),,,,
14:02:00,864,1722-10,METRÔ TUCURUVI - JD. MARINA,26294,-46.672304,-23.482192,2025-10-16 14:02:35-03:00,POINT (329217.8630775757 7402106.794086955),,,,
14:02:00,33624,172J-10,TATUAPÉ - JD. BRASIL,26301,-46.5727125,-23.50057,2025-10-16 14:02:29-03:00,POINT (339412.6149918732 7400186.515853408),,,,
14:02:00,33624,172J-10,TATUAPÉ - JD. BRASIL,26305,-46.584391125,-23.52324275,2025-10-16 14:02:36-03:00,POINT (338247.62422552303 7397662.720069013),,,,
14:02:00,856,172J-10,TATUAPÉ - JD. BRASIL,26308,-46.597466,-23.528224,2025-10-16 14:02:39-03:00,POINT (336918.6987647485 7397096.3135924395),,,,
14:02:00,861,172X-10,METRÔ TATUAPÉ - PQ. NOVO MUNDO,26321,-46.5846195,-23.5295865,2025-10-16 14:02:08-03:00,POINT (338232.06236375304 7396959.979954461),,,,
14:02:00,864,1722-10,METRÔ TUCURUVI - JD. MARINA,26332,-46.672304,-23.482192,2025-10-16 14:02:03-03:00,POINT (329217.8630775757 7402106.794086955),,,,
