hora_requisicao,codigo_linha,nome_linha,letreiro,codigo_onibus,x,y,hora_gps
14:02:00,1730,737A-10,TERM. STO. AMARO - TERM. JD. ÂNGELA,73852,-46.7409715,-23.67163175,2025-10-16 14:02:37-03:00
14:02:00,34498,737A-10,TERM. STO. AMARO - TERM. JD. ÂNGELA,73853,-46.731587000000005,-23.667671,2025-10-16 14:02:30-03:00
14:02:00,185,637A-10,TERM. PINHEIROS - TERM. JD. ÂNGELA,73854,-46.774112,-23.690886,2025-10-16 14:02:31-03:00
14:02:00,198,675K-10,METRÔ STA. CRUZ - TERM. JD. ÂNGELA,73855,-46.773815,-23.6902125,2025-10-16 14:02:02-03:00
14:02:00,34498,737A-10,TERM. STO. AMARO - TERM. JD. ÂNGELA,73858,-46.763668,-23.678976,2025-10-16 14:01:56-03:00
14:02:00,34498,737A-10,TERM. STO. AMARO - TERM. JD. ÂNGELA,73860,-46.76413775,-23.67941175,2025-10-16 14:02:03-03:00
14:02:00,34758,707A-10,METRÔ PÇA. DA ÁRVORE - JD. ÂNGELA,73861,-46.6358635,-23.6114595,2025-10-16 14:02:31-03:00
14:02:00,1730,737A-10,TERM. STO. AMARO - TERM. JD. ÂNGELA,73862,-46.7120065,-23.6541015,2025-10-16 14:02:43-03:00
14:02:00,185,637A-10,TERM. PINHEIROS - TERM. JD. ÂNGELA,73863,-46.7013775,-23.565859,2025-10-16 14:02:35-03:00
14:02:00,1239,677A-10,ITAIM BIBI - TERM. JD. ÂNGELA,73867,-46.696734500000005,-23.6136555,2025-10-16 14:02:21-03:00
14:02:00,32966,675K-10,METRÔ STA. CRUZ - TERM. JD. ÂNGELA,73869,-46.77468,-23.690684,2025-10-16 14:01:59-03:00
14:02:00,32966,675K-10,METRÔ STA. CRUZ - TERM. JD. ÂNGELA,73870,-46.647813875,-23.59798825,2025-10-16 14:02:01-03:00
14:02:00,1730,737A-10,TERM. STO. AMARO - TERM. JD. ÂNGELA,73871,-46.705682,-23.6587945,2025-10-16 14:02:25-03:00
14:02:00,1239,677A-10,ITAIM BIBI - TERM. JD. ÂNGELA,73873,-46.68808525,-23.5908475,2025-10-16 14:02:18-03:00
14:02:00,185,637A-10,TERM. PINHEIROS - TERM. JD. ÂNGELA,73875,-46.70165525,-23.56614425,2025-10-16 14:02:11-03:00
14:02:00,198,675K-10,METRÔ STA. CRUZ - TERM. JD. ÂNGELA,73877,-46.65073,-23.596426,2025-10-16 14:02:34-03:00
14:02:00,34007,677A-10,ITAIM BIBI - TERM. JD. ÂNGELA,73880,-46.761189,-23.6772765,2025-10-16 14:02:36-03:00
14:02:00,32953,637A-10,TERM. PINHEIROS - TERM. JD. ÂNGELA,73881,-46.75482325,-23.6755615,2025-10-16 14:02:41-03:00
14:02:00,185,637A-10,TERM. PINHEIROS - TERM. JD. ÂNGELA,73883,-46.69821337500001,-23.6118045,2025-10-16 14:02:37-03:00
14:02:00,32966,675K-10,METRÔ STA. CRUZ - TERM. JD. ÂNGELA,73885,-46.774199,-23.6901525,2025-10-16 14:02:21-03:00
14:02:00,198,675K-10,METRÔ STA. CRUZ - TERM. JD. ÂNGELA,73886,-46.735198,-23.669321,2025-10-16 14:02:39-03:00
14:02:00,32966,675K-10,METRÔ STA. CRUZ - TERM. JD. ÂNGELA,73888,-46.774566500000006,-23.6905325,2025-10-16 14:02:16-03:00
14:02:00,32966,675K-10,METRÔ STA. CRUZ - TERM. JD. ÂNGELA,73889,-46.770951,-23.686505,2025-10-16 14:02:36-03:00
14:02:00,34498,737A-10,TERM. STO. AMARO - TERM. JD. ÂNGELA,73890,-46.774251500000005,-23.690655,2025-10-16 14:02:13-03:00
14:02:00,198,675K-10,METRÔ STA. CRUZ - TERM. JD. ÂNGELA,73894,-46.6786125,-23.621113,2025-10-16 14:02:41-03:00
14:02:00,34007,677A-10,ITAIM BIBI - TERM. JD. ÂNGELA,73895,-46.774199,-23.6901525,2025-10-16 14:02:23-03:00
14:02:00,198,675K-10,METRÔ STA. CRUZ - TERM. JD. ÂNGELA,73902,-46.639347,-23.598507,2025-10-16 14:02:22-03:00
14:02:00,32966,675K-10,METRÔ STA. CRUZ - TERM. JD. ÂNGELA,73903,-46.7533895,-23.67581125,2025-10-16 14:02:43-03:00
14:02:00,198,675K-10,METRÔ STA. CRUZ - TERM. JD. ÂNGELA,73905,-46.7080915,-23.663912,2025-10-16 14:02:21-03:00
14:02:00,185,637A-10,TERM. PINHEIROS - TERM. JD. ÂNGELA,73906,-46.723836375000005,-23.652702875000003,2025-10-16 14:02:31-03:00
14:02:00,198,675K-10,METRÔ STA. CRUZ - TERM. JD. ÂNGELA,73907,-46.665693000000005,-23.6074085,2025-10-16 14:02:38-03:00
14:02:00,1730,737A-10,TERM. STO. AMARO - TERM. JD. ÂNGELA,73908,-46.705682,-23.6587945,2025-10-16 14:02:34-03:00
14:02:00,34007,677A-10,ITAIM BIBI - TERM. JD. ÂNGELA,73909,-46.725299875000005,-23.6598625,2025-10-16 14:02:05-03:00
14:02:00,32966,675K-10,METRÔ STA. CRUZ - TERM. JD. ÂNGELA,73912,-46.67901375,-23.62135975,2025-10-16 14:02:21-03:00
14:02:00,198,675K-10,METRÔ STA. CRUZ - TERM. JD. ÂNGELA,73913,-46.7615305,-23.677541,2025-10-16 14:02:37-03:00
14:02:00,32966,675K-10,METRÔ STA. CRUZ - TERM. JD. ÂNGELA,73914,-46.7063985,-23.661934,2025-10-16 14:02:17-03:00
14:02:00,34007,677A-10,ITAIM BIBI - TERM. JD. ÂNGELA,73915,-46.774566500000006,-23.6905325,2025-10-16 14:02:38-03:00
14:02:00,198,675K-10,METRÔ STA. CRUZ - TERM. JD. ÂNGELA,73917,-46.6578824375,-23.5990978125,2025-10-16 14:02:32-03:00
14:02:00,185,637A-10,TERM. PINHEIROS - TERM. JD. ÂNGELA,73918,-46.774112,-23.690886,2025-10-16 14:02:12-03:00
14:02:00,1239,677A-10,ITAIM BIBI - TERM. JD. ÂNGELA,73919,-46.7206375,-23.637448,2025-10-16 14:02:32-03:00
14:02:00,198,675K-10,METRÔ STA. CRUZ - TERM. JD. ÂNGELA,73920,-46.637642,-23.598833,2025-10-16 14:02:34-03:00
14:02:00,196,637R-10,TERM. STO. AMARO - JD. ARACATI,73924,-46.747420375,-23.674507,2025-10-16 14:02:02-03:00
14:02:00,34760,7004-10,EST. STO. AMARO/GUIDO CALOI - TERM. JD. JACIRA,73926,-46.73426550000001,-23.6781565,2025-10-16 14:02:30-03:00
14:02:00,34760,7004-10,EST. STO. AMARO/GUIDO CALOI - TERM. JD. JACIRA,73927,-46.793533,-23.7402695,2025-10-16 14:02:07-03:00
14:02:00,34760,7004-10,EST. STO. AMARO/GUIDO CALOI - TERM. JD. JACIRA,73928,-46.8009785,-23.741952,2025-10-16 14:02:33-03:00
14:02:00,196,637R-10,TERM. STO. AMARO - JD. ARACATI,73929,-46.7690515,-23.7157765,2025-10-16 14:02:34-03:00
14:02:00,1992,7004-10,EST. STO. AMARO/GUIDO CALOI - TERM. JD. JACIRA,73930,-46.8004865,-23.7415985,2025-10-16 14:02:37-03:00
14:02:00,1992,7004-10,EST. STO. AMARO/GUIDO CALOI - TERM. JD. JACIRA,73931,-46.746064,-23.68472175,2025-10-16 14:02:22-03:00
14:02:00,34760,7004-10,EST. STO. AMARO/GUIDO CALOI - TERM. JD. JACIRA,73933,-46.7936485,-23.7464715,2025-10-16 14:02:30-03:00
14:02:00,196,637R-10,TERM. STO. AMARO - JD. ARACATI,73934,-46.742821250000006,-23.67246275,2025-10-16 14:02:39-03:00
14:02:00,1992,7004-10,EST. STO. AMARO/GUIDO CALOI - TERM. JD. JACIRA,73935,-46.786442,-23.732263,2025-10-16 14:02:33-03:00
14:02:00,171,5391-10,LGO. SÃO FRANCISCO - JD. ÂNGELA,73936,-46.6451215,-23.57790475,2025-10-16 14:02:31-03:00
14:02:00,185,637A-10,TERM. PINHEIROS - TERM. JD. ÂNGELA,73937,-46.774112,-23.690886,2025-10-16 14:02:33-03:00
14:02:00,34758,707A-10,METRÔ PÇA. DA ÁRVORE - JD. ÂNGELA,73938,-46.635817,-23.611463,2025-10-16 14:02:31-03:00
14:02:00,171,5391-10,LGO. SÃO FRANCISCO - JD. ÂNGELA,73941,-46.7077935,-23.6636725,2025-10-16 14:02:36-03:00
14:02:00,171,5391-10,LGO. SÃO FRANCISCO - JD. ÂNGELA,73942,-46.7702995,-23.6858575,2025-10-16 14:02:41-03:00
14:02:00,1990,707A-10,METRÔ PÇA. DA ÁRVORE - JD. ÂNGELA,73943,-46.705682,-23.6587945,2025-10-16 14:02:26-03:00
14:02:00,1990,707A-10,METRÔ PÇA. DA ÁRVORE - JD. ÂNGELA,73944,-46.764053375,-23.679529375,2025-10-16 14:02:36-03:00
14:02:00,32939,5391-10,LGO. SÃO FRANCISCO - JD. ÂNGELA,73947,-46.6374445,-23.551397,2025-10-16 14:01:58-03:00
14:02:00,175,6006-10,SHOP. INTERLAGOS - JD. HERCULANO,73952,-46.7578365,-23.6922335,2025-10-16 14:02:32-03:00
14:02:00,34852,7022-10,TERM. STO. AMARO - JD. CAIÇARA,73953,-46.736089750000005,-23.66945775,2025-10-16 14:02:25-03:00
14:02:00,34920,7023-10,TERM. STO. AMARO - JD. NAKAMURA,73954,-46.734524,-23.6712735,2025-10-16 14:02:36-03:00
14:02:00,175,6006-10,SHOP. INTERLAGOS - JD. HERCULANO,73955,-46.7591965,-23.6899025,2025-10-16 14:02:17-03:00
14:02:00,175,6006-10,SHOP. INTERLAGOS - JD. HERCULANO,73957,-46.7578365,-23.6922335,2025-10-16 14:02:32-03:00
14:02:00,1490,6019-10,JD. ALFREDO - TERM. GUARAPIRANGA,73958,-46.7355055,-23.668242,2025-10-16 14:02:24-03:00
14:02:00,34258,6019-10,JD. ALFREDO - TERM. GUARAPIRANGA,73959,-46.735548,-23.670223,2025-10-16 14:02:06-03:00
14:02:00,1478,675L-10,METRÔ STA. CRUZ - TERM. STO. AMARO,73961,-46.7107365,-23.653993,2025-10-16 14:02:04-03:00
14:02:00,1989,7021-10,TERM. JOÃO DIAS - JD. MARACÁ,73963,-46.7336615,-23.643883,2025-10-16 14:02:36-03:00
14:02:00,1989,7021-10,TERM. JOÃO DIAS - JD. MARACÁ,73964,-46.7682805,-23.6710185,2025-10-16 14:02:26-03:00
14:02:00,34757,7021-10,TERM. JOÃO DIAS - JD. MARACÁ,73965,-46.73941275,-23.67015375,2025-10-16 14:02:22-03:00
14:02:00,1490,6019-10,JD. ALFREDO - TERM. GUARAPIRANGA,73966,-46.739647000000005,-23.6745365,2025-10-16 14:02:28-03:00
14:02:00,1989,7021-10,TERM. JOÃO DIAS - JD. MARACÁ,73967,-46.761515,-23.67006,2025-10-16 14:02:00-03:00
14:02:00,32939,5391-10,LGO. SÃO FRANCISCO - JD. ÂNGELA,73968,-46.7778525,-23.692511000000003,2025-10-16 14:02:22-03:00
14:02:00,1730,737A-10,TERM. STO. AMARO - TERM. JD. ÂNGELA,73969,-46.710302625,-23.665114875,2025-10-16 14:02:16-03:00
14:02:00,34758,707A-10,METRÔ PÇA. DA ÁRVORE - JD. ÂNGELA,73970,-46.778135500000005,-23.6926835,2025-10-16 14:02:30-03:00
14:02:00,171,5391-10,LGO. SÃO FRANCISCO - JD. ÂNGELA,73971,-46.6368765,-23.5520285,2025-10-16 14:02:23-03:00
14:02:00,32939,5391-10,LGO. SÃO FRANCISCO - JD. ÂNGELA,73972,-46.7366765,-23.669655,2025-10-16 14:02:25-03:00
14:02:00,32939,5391-10,LGO. SÃO FRANCISCO - JD. ÂNGELA,73973,-46.73736375,-23.669862,2025-10-16 14:02:42-03:00
14:02:00,2092,709A-10,METRÔ ANA ROSA - TERM. ÁGUA ESPRAIADA,73974,-46.696824,-23.6136645,2025-10-16 14:02:23-03:00
14:02:00,34758,707A-10,METRÔ PÇA. DA ÁRVORE - JD. ÂNGELA,73975,-46.778341,-23.692809,2025-10-16 14:02:28-03:00
14:02:00,34758,707A-10,METRÔ PÇA. DA ÁRVORE - JD. ÂNGELA,73978,-46.7066085,-23.661628,2025-10-16 14:02:25-03:00
14:02:00,32939,5391-10,LGO. SÃO FRANCISCO - JD. ÂNGELA,73981,-46.701621375,-23.644555000000004,2025-10-16 14:02:39-03:00
14:02:00,32939,5391-10,LGO. SÃO FRANCISCO - JD. ÂNGELA,73982,-46.7778525,-23.692511000000003,2025-10-16 14:02:22-03:00
14:02:00,1990,707A-10,METRÔ PÇA. DA ÁRVORE - JD. ÂNGELA,73984,-46.73685449999999,-23.66981575,2025-10-16 14:02:26-03:00
14:02:00,34758,707A-10,METRÔ PÇA. DA ÁRVORE - JD. ÂNGELA,73985,-46.730432,-23.6675375,2025-10-16 14:02:22-03:00
14:02:00,171,5391-10,LGO. SÃO FRANCISCO - JD. ÂNGELA,73987,-46.679286,-23.62182025,2025-10-16 14:02:36-03:00
14:02:00,1990,707A-10,METRÔ PÇA. DA ÁRVORE - JD. ÂNGELA,73988,-46.7128965,-23.665875,2025-10-16 14:02:26-03:00
14:02:00,8,695V-10,METRÔ ANA ROSA - TERM. CAPELINHA,75002,-46.745576,-23.6448945,2025-10-16 14:02:31-03:00
14:02:00,34090,695T-10,METRÔ VL. MARIANA - TERM. CAPELINHA,75212,-46.6340555,-23.5896805,2025-10-16 14:02:22-03:00
