hora_requisicao,codigo_linha,nome_linha,letreiro,codigo_onibus,x,y,hora_gps,geometry
14:02:00,34928,4310-10,TERM. PQ. D. PEDRO II - E.T. ITAQUERA,31192,-46.599032750000006,-23.546293625000004,2025-10-16 14:02:31-03:00,POINT (336781.0315992139 7395093.558255988)
14:02:00,34928,4310-10,TERM. PQ. D. PEDRO II - E.T. ITAQUERA,31194,-46.6074375,-23.550840625,2025-10-16 14:02:33-03:00,POINT (335928.620272508 7394580.441422964)
14:02:00,34928,4310-10,TERM. PQ. D. PEDRO II - E.T. ITAQUERA,31195,-46.496587000000005,-23.5346855,2025-10-16 14:01:57-03:00,POINT (347226.3075334414 7396491.861221774)
14:02:00,34387,354M-10,TERM. SÃO MATEUS - TERM. SÃO MIGUEL,31196,-46.4343875,-23.4917705,2025-10-16 14:02:22-03:00,POINT (353529.17631872953 7401308.74363114)
14:02:00,34928,4310-10,TERM. PQ. D. PEDRO II - E.T. ITAQUERA,31197,-46.56848075,-23.53894175,2025-10-16 14:02:13-03:00,POINT (339891.2181627803 7395942.125867065)
14:02:00,2160,4310-10,TERM. PQ. D. PEDRO II - E.T. ITAQUERA,31198,-46.4921995,-23.53579075,2025-10-16 14:02:16-03:00,POINT (347675.53230124194 7396374.139911722)
14:02:00,374,2582-10,TERM. PQ. D. PEDRO II - VL. NOVA CURUÇÁ,31199,-46.442477,-23.500049,2025-10-16 14:02:31-03:00,POINT (352712.20976807823 7400383.789115448)
14:02:00,374,2582-10,TERM. PQ. D. PEDRO II - VL. NOVA CURUÇÁ,31200,-46.424446,-23.514998,2025-10-16 14:02:17-03:00,POINT (354569.9912674185 7398746.854699345)
14:02:00,2160,4310-10,TERM. PQ. D. PEDRO II - E.T. ITAQUERA,31201,-46.4529845,-23.534623,2025-10-16 14:02:31-03:00,POINT (351677.90583716333 7396544.546615372)
14:02:00,132,1178-10,PÇA. DO CORREIO - SÃO MIGUEL,31202,-46.630721,-23.52280775,2025-10-16 14:02:02-03:00,POINT (333516.34086528805 7397657.901208367)
14:02:00,207,208V-10,TERM. PQ. D. PEDRO II - TERM. A. E. CARVALHO,31206,-46.475941500000005,-23.517753,2025-10-16 14:02:13-03:00,POINT (349314.8670587607 7398388.6745050065)
14:02:00,374,2582-10,TERM. PQ. D. PEDRO II - VL. NOVA CURUÇÁ,31207,-46.48745275,-23.48508975,2025-10-16 14:02:25-03:00,POINT (348102.0019100388 7401993.422431815)
14:02:00,2160,4310-10,TERM. PQ. D. PEDRO II - E.T. ITAQUERA,31208,-46.588307,-23.543117,2025-10-16 14:02:35-03:00,POINT (337872.143660567 7395457.497393643)
14:02:00,2160,4310-10,TERM. PQ. D. PEDRO II - E.T. ITAQUERA,31209,-46.4541105,-23.535216,2025-10-16 14:02:22-03:00,POINT (351563.61130955233 7396477.717913838)
14:02:00,132,1178-10,PÇA. DO CORREIO - SÃO MIGUEL,31210,-46.63535375,-23.54147725,2025-10-16 14:02:21-03:00,POINT (333066.8525562595 7395585.092638873)
14:02:00,207,208V-10,TERM. PQ. D. PEDRO II - TERM. A. E. CARVALHO,31211,-46.475941500000005,-23.517753,2025-10-16 14:02:00-03:00,POINT (349314.8670587607 7398388.6745050065)
14:02:00,34387,354M-10,TERM. SÃO MATEUS - TERM. SÃO MIGUEL,31212,-46.44638975,-23.565654625,2025-10-16 14:02:01-03:00,POINT (352385.86886873527 7393115.16740311)
14:02:00,402,3459-10,TERM. PQ. D. PEDRO II - ITAIM PAULISTA,31221,-46.385602000000006,-23.5165205,2025-10-16 14:02:17-03:00,POINT (358537.9671505152 7398617.084653763)
14:02:00,164,352A-10,TERM. SÃO MATEUS - JD. HELENA,31222,-46.421091,-23.479454,2025-10-16 14:02:30-03:00,POINT (354873.6421026619 7402686.040480046)
14:02:00,34386,3301-10,TERM. PQ. D. PEDRO II - TERM. SÃO MIGUEL,31223,-46.57373975,-23.535605250000003,2025-10-16 14:02:05-03:00,POINT (339350.2391438449 7396305.7148157805)
14:02:00,1618,3301-10,TERM. PQ. D. PEDRO II - TERM. SÃO MIGUEL,31227,-46.459282,-23.49789025,2025-10-16 14:02:00-03:00,POINT (350993.6109630816 7400605.497925048)
14:02:00,34386,3301-10,TERM. PQ. D. PEDRO II - TERM. SÃO MIGUEL,31229,-46.434552,-23.491535,2025-10-16 14:02:20-03:00,POINT (353512.1158655899 7401334.652959767)
14:02:00,2170,4210-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31230,-46.58360725,-23.53537,2025-10-16 14:02:32-03:00,POINT (338342.4866822264 7396320.67809082)
14:02:00,402,3459-10,TERM. PQ. D. PEDRO II - ITAIM PAULISTA,31231,-46.385602000000006,-23.5165205,2025-10-16 14:02:42-03:00,POINT (358537.9671505152 7398617.084653763)
14:02:00,1619,354M-10,TERM. SÃO MATEUS - TERM. SÃO MIGUEL,31232,-46.44655225,-23.5502555,2025-10-16 14:02:42-03:00,POINT (352352.07215745153 7394820.172175619)
14:02:00,2170,4210-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31235,-46.503673500000005,-23.57354,2025-10-16 14:02:17-03:00,POINT (346547.9271270869 7392181.794492344)
14:02:00,2173,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31237,-46.407171,-23.5825065,2025-10-16 14:02:40-03:00,POINT (356407.30636144895 7391289.010411882)
14:02:00,2170,4210-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31238,-46.56396925,-23.533102,2025-10-16 14:02:09-03:00,POINT (340344.7750938164 7396593.823629368)
14:02:00,2173,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31241,-46.4073165,-23.582475,2025-10-16 14:02:25-03:00,POINT (356392.4227014715 7391292.352490455)
14:02:00,2173,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31244,-46.575531187500005,-23.540538062500005,2025-10-16 14:02:09-03:00,POINT (339173.33501094347 7395757.467111131)
14:02:00,2171,4311-10,TERM. PQ. D. PEDRO II - TERM. SÃO MATEUS,31245,-46.5013465,-23.576651,2025-10-16 14:02:16-03:00,POINT (346789.0492777752 7391839.792959191)
14:02:00,2170,4210-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31249,-46.45299125,-23.595957,2025-10-16 14:02:09-03:00,POINT (351746.08914934285 7389752.898606291)
14:02:00,34939,4311-10,TERM. PQ. D. PEDRO II - TERM. SÃO MATEUS,31250,-46.6292965,-23.5473415,2025-10-16 14:02:40-03:00,POINT (333692.655876651 7394942.73587319)
14:02:00,34941,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31253,-46.62128250000001,-23.55236825,2025-10-16 14:02:36-03:00,POINT (334517.1148804785 7394395.358889753)
14:02:00,34941,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31254,-46.4417815,-23.59480025,2025-10-16 14:02:37-03:00,POINT (352888.7355639544 7389892.557774352)
